EndDateTime,HighPX,LowPX,OpenPX,ClosePX,Volume,Bid,Ask,InstrumentId,BeginDateTime
1642629600000,0.00015452,0.0001544,0.0001544,0.00015452,500,0.0001515,0.00015452,40,1642629540000
1642629600000,0.00015452,0.0001544,0.0001544,0.00015452,600,0.0001515,0.00015452,40,1642629540000
1642629600000,0.00015452,0.0001515,0.0001544,0.0001515,74642,0.0001515,0.00015452,40,1642629540000
1642629600000,0.00015452,0.0001515,0.0001544,0.0001515,74642,0.0001515,0.00015452,40,1642629540000
1642629581039.1409,0.00015452,0.0001515,0.0001544,0.0001515,0,0.0001515,0.00015452,40,1642629540000
1642629641036.0737,0.0001515,0.0001515,0.0001515,0.0001515,0,0.0001515,0.00015452,40,1642629641036.0732
1642629701041.5647,0.0001515,0.0001515,0.0001515,0.0001515,0,0.0001515,0.00015452,40,1642629641036.0732
1642629780000,0.0001545,0.0001515,0.0001515,0.0001545,100,0.0001515,0.0001545,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.0001545,200,0.0001515,0.0001545,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.0001545,300,0.0001515,0.0001545,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.0001545,400,0.0001515,0.0001545,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.0001545,500,0.0001515,0.0001545,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.0001545,600,0.0001515,0.0001545,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.00015445,700,0.0001515,0.00015445,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.00015445,800,0.0001515,0.00015445,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.00015445,900,0.0001515,0.00015445,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.00015445,1000,0.0001515,0.00015445,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.00015445,1100,0.0001515,0.00015445,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.00015445,1200,0.0001515,0.00015445,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.00015445,1300,0.0001515,0.00015445,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.00015445,1400,0.0001515,0.00015445,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.00015445,1500,0.0001515,0.00015445,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.00015445,1600,0.0001515,0.00015445,40,1642629720000
1642629780000,0.0001545,0.0001515,0.0001515,0.00015445,1700,0.0001515,0.00015445,40,1642629720000
1642629840000,0.00015445,0.00015439,0.00015445,0.00015439,100,0.0001515,0.00015439,40,1642629780000
1642629840000,0.00015445,0.00015428,0.00015445,0.00015428,200,0.0001515,0.00015428,40,1642629780000
1642629840000,0.00015445,0.00015428,0.00015445,0.00015428,300,0.0001515,0.00015428,40,1642629780000
1642629840000,0.00015445,0.00015428,0.00015445,0.00015428,400,0.0001515,0.00015428,40,1642629780000
1642629840000,0.00015445,0.00015428,0.00015445,0.00015428,500,0.0001515,0.00015428,40,1642629780000
1642629840000,0.00015445,0.00015428,0.00015445,0.00015428,600,0.0001515,0.00015428,40,1642629780000
1642629840000,0.00015445,0.00015428,0.00015445,0.00015428,700,0.0001515,0.00015428,40,1642629780000
1642629840000,0.00015445,0.00015428,0.00015445,0.00015428,800,0.0001515,0.00015428,40,1642629780000
1642629840000,0.00015445,0.00015428,0.00015445,0.00015428,900,0.0001515,0.00015428,40,1642629780000
1642629840000,0.00015445,0.00015428,0.00015445,0.00015428,1000,0.0001515,0.00015428,40,1642629780000
1642629840000,0.00015445,0.00015428,0.00015445,0.00015428,1100,0.0001515,0.00015428,40,1642629780000
